t_sec,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,int_0,int_1,int_2,int_3,int_4,int_5
2.945711,0.019993331153961343,2.243508533583591e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.947754,0.019997665894454366,7.852279867536005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.949413,0.01999918306190397,2.7482979536594457e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.951501,0.01999971407152492,9.619042837994884e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.953277,0.01999989992501639,3.366664993326339e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.955246,0.019980971055552205,6.447531490660242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.956941,0.019993339802530232,2.2566360217311583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.958656,0.019997668922695562,7.898226076071932e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.960441,0.019999184121940454,2.7643791266228856e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.962708,0.019999714442556306,9.67532694306866e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.964411,0.019980727396865183,6.575780860633517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.965922,0.01999325452956057,2.3015233012214347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.967836,0.019997639078082913,8.05533155428989e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.970848,0.0199991736764395,2.8193660439929642e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.971941,0.019999710786644906,9.867781153787437e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.973959,0.019999898775312355,3.453723403815594e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.974915,0.019980657139211256,6.645635029595818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.977164,0.01999322994757422,2.325972260356668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.978795,0.019997630475390486,8.140902911238635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.981048,0.019999170665620014,2.849316018909096e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.982427,0.01999970973287312,9.972606066099084e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.984062,0.01998061172073034,6.706401745166588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.985807,0.01999321405865804,2.3472406108057215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.987813,0.019997624915194166,8.215342137811716e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.98939,0.019999168719664513,2.875369748211522e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.99145,0.01999970905180256,1.0063794118778545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.993244,0.019999898168121095,3.522327941471897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.995077,0.01998043860130538,6.811765857629311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.996639,0.019993153473281105,2.3841180501702704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.999277,0.019997603711098287,8.344413175582171e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.000246,0.019999161298327208,2.9205446114474494e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.002856,0.019999706454346292,1.0221906140213145e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.00381,0.0199803208909597,6.897886824115901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.005972,0.01999311228070425,2.4142603884369556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.00775,0.019997589294436163,8.449911359528388e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.010224,0.01999915625258601,2.9574689758241303e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.011282,0.019999704688347962,1.0351141415147046e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.013192,0.019980191424935314,6.988409197217548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.01471,0.019993066973033387,2.4459432190257694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.016983,0.019997573437416923,8.56080126657976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.018432,0.019999150702710813,2.996280443281056e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.021128,0.019999702745901602,1.0486981551537178e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.022179,0.01999989596105978,3.6704435430635657e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0243,0.019980050207656582,7.08358607446405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.025605,0.019993017551850227,2.4792551260631573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.02824,0.019997556140598206,8.677392941225792e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.029795,0.019999144648897186,3.0370875294053943e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.031696,0.019999700627075786,1.0629806352749579e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.033185,0.019979887868039482,7.186337237530622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.035958,0.019992960737214318,2.51521803313666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.036882,0.019997536255993383,8.80326311593396e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.039143,0.01999913768934886,3.0811420905728853e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04058,0.01999969819124162,1.0783997316793752e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.042948,0.019999894366930848,3.774399060765913e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04436,0.019980010265862387,7.18714674705247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.046715,0.019993003580490172,2.5155013614674233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.048499,0.019997551251634115,8.804254765126976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05022,0.019999142937883692,3.081489167780406e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.052047,0.01999970002823624,1.0785212086999867e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.053722,0.019979587332524525,7.384084792039778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.055651,0.019992855556575893,2.584429677213955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.058091,0.019997499443601213,9.045503870248865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.059958,0.019999124805113438,3.1659263545967713e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.061262,0.019999693681771714,1.1080742241028856e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.063225,0.019999892788617933,3.8782597841918456e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.065008,0.019979830480857937,7.340329579058833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.066679,0.019992940661302073,2.5691153526690352e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.068733,0.019997529230599245,8.991903734319185e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.070638,0.019999135230604887,3.1471663070023365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.072463,0.019999697330698875,1.1015082074302148e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.074291,0.01997950035944297,7.504563019044186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
