t_sec,joint1_pos,joint1_master_err,joint2_pos,joint2_master_err,joint3_pos,joint3_master_err,joint4_pos,joint4_master_err,joint5_pos,joint5_master_err,joint6_pos,joint6_master_err
0.121273,0.05326938035414303,0.05326938035414303,0.5329749537730325,0.10631972741053825,-0.7345908190290968,-0.2859713413204391,0.3537180534892249,0.3537180534892249,0.5213266943825097,0.00825472451094611,-0.3375929175459142,-0.3375929175459142
0.123144,0.05344547644871621,0.05344547644871621,0.5334014433565664,0.10674621699407211,-0.7352116697291281,-0.28659219202047037,0.35483257270466306,0.35483257270466306,0.5215618390576924,0.008489869186128818,-0.338621671342169,-0.338621671342169
0.125001,0.053554442774984216,0.053554442774984216,0.5337098367158888,0.10705461035339453,-0.7355244290555978,-0.28690495134694005,0.3550330143567217,0.3550330143567217,0.521551694772332,0.008479724900768426,-0.3387033667375558,-0.3387033667375558
0.126812,0.05365647429153569,0.05365647429153569,0.5339992901654722,0.10734406380297795,-0.7358020994325859,-0.28718262172392817,0.3551350340744544,0.3551350340744544,0.5215140044741278,0.008442034602564208,-0.33868353850355465,-0.33868353850355465
0.12865,0.053758708145955264,0.053758708145955264,0.5342819649976762,0.10705573271670155,-0.7360773685251488,-0.28735298315736907,0.3552359253836435,0.3552359253836435,0.521474841944254,0.00826141827479887,-0.3386629893914007,-0.3386629893914007
0.130478,0.053932621124961964,0.053932621124961964,0.5347167919809972,0.10749055970002253,-0.7366949095464773,-0.28797052417869756,0.3563302572462534,0.3563302572462534,0.5217069830194181,0.008493559349962987,-0.33966966992496817,-0.33966966992496817
0.132315,0.05403977622622853,0.05403977622622853,0.5350320075060981,0.10780577522512347,-0.7370040626846341,-0.2882796773168544,0.3565134779455909,0.3565134779455909,0.5216939206732402,0.008480497003785059,-0.33973260184309756,-0.33973260184309756
0.134152,0.05414012873159993,0.05414012873159993,0.5353277743950566,0.10810154211408196,-0.7372781541621923,-0.2885537687944126,0.35659924589977837,0.35659924589977837,0.5216534369377257,0.008440013268270596,-0.3396951008961176,-0.3396951008961176
0.136154,0.05424078126616082,0.05424078126616082,0.5356163935276362,0.10839016124666156,-0.7375499099967091,-0.28882552462892935,0.35668458817458654,0.35668458817458654,0.5216116034984906,0.008398179829035457,-0.3396576711993278,-0.3396576711993278
0.137934,0.054342509169437184,0.054342509169437184,0.5358996123695433,0.10867338008856864,-0.7378232027997983,-0.28909881743201854,0.35678063210179545,0.35678063210179545,0.5215714601112517,0.008358036441796557,-0.3396317911453004,-0.3396317911453004
0.139829,0.054445334113833,0.054445334113833,0.5361778953055681,0.10838550343500375,-0.7380984436986615,-0.2892690782376962,0.35688822148119126,0.35688822148119126,0.5215332879221769,0.008179682254550236,-0.33961828614088374,-0.33961828614088374
0.141683,0.05454919194519838,0.05454919194519838,0.5364515379586283,0.10865914608806393,-0.7383756286368321,-0.28954626317586685,0.3570069880445957,0.3570069880445957,0.5214970411674198,0.008143435499793128,-0.33961672951454697,-0.33961672951454697
0.143423,0.054723536949951024,0.054723536949951024,0.5368781313442065,0.10908573947364208,-0.7389924223448275,-0.29016305688386224,0.35810778996512777,0.35810778996512777,0.5217293834232576,0.00837577775563092,-0.34063002343922705,-0.34063002343922705
0.145148,0.054832099794854566,0.054832099794854566,0.5371852286998517,0.10939283682928735,-0.7393035685026143,-0.29047420304164895,0.3583078839584218,0.3583078839584218,0.5217191283748481,0.008365522707221462,-0.34071073599534085,-0.34071073599534085
0.146988,0.05493386354324552,0.05493386354324552,0.5374732892899655,0.10968089741940112,-0.7395798834795082,-0.2907505180185429,0.3584109726877714,0.3584109726877714,0.5216816356714526,0.008328030003825981,-0.3406914653613712,-0.3406914653613712
0.148871,0.05503582130183667,0.05503582130183667,0.5377546262049056,0.10939304929089344,-0.7398537928294368,-0.29091791454199384,0.35851292455421313,0.35851292455421313,0.5216426925961708,0.008148226634262068,-0.340671472248985,-0.340671472248985
0.150592,0.05520827810485914,0.05520827810485914,0.5381902173167977,0.10982864040278562,-0.7404687143675381,-0.2915328360800952,0.359597870268751,0.359597870268751,0.5218732048561342,0.008378738894225468,-0.3416671982978441,-0.3416671982978441
0.15249,0.055315019962889525,0.055315019962889525,0.5385042727348006,0.1101426958207885,-0.7407762979693927,-0.2918404196819498,0.359780927530112,0.359780927530112,0.5218601066902081,0.008365640728299373,-0.3417293587356436,-0.3417293587356436
0.154313,0.05541505995553212,0.05541505995553212,0.5387987147987632,0.11043713788475107,-0.7410489129991221,-0.2921130347116792,0.35986746369503286,0.35986746369503286,0.5218197659860084,0.008325300024099702,-0.34169212544558025,-0.34169212544558025
0.156146,0.05551538886989473,0.05551538886989473,0.5390860511397109,0.11072447422569875,-0.7413191706460472,-0.29238329235860433,0.35995351898461486,0.35995351898461486,0.5217780844441394,0.008283618482230692,-0.34165491433737244,-0.34165491433737244
0.15799,0.055616769723338406,0.055616769723338406,0.5393680497240192,0.11044080166698483,-0.7415909297615256,-0.2925482255334918,0.3600501092135615,0.3600501092135615,0.5217380819727373,0.008103694987855792,-0.34162908106207623,-0.34162908106207623
0.159824,0.05571922373818139,0.05571922373818139,0.5396451733561862,0.11071792529915186,-0.7418645998946652,-0.2928218956666314,0.36015807139403855,0.36015807139403855,0.521700037860345,0.008065650875463515,-0.34161544376485625,-0.34161544376485625
0.161602,0.055822687671209716,0.055822687671209716,0.5399177136747954,0.11099046561776099,-0.7421401769164113,-0.2930974726883775,0.3602770427399481,0.3602770427399481,0.5216639066143561,0.008029519629474624,-0.34161358201298664,-0.34161358201298664
0.163484,0.05599563239972823,0.05599563239972823,0.5403456421312202,0.1114183940741858,-0.7427548915601926,-0.29371218733215876,0.36136993618858976,0.36136993618858976,0.5218951369883176,0.008260750003436068,-0.3426174782191484,-0.3426174782191484
0.165323,0.0561036780844566,0.0561036780844566,0.5406518800469919,0.11172463198995758,-0.7430642926945603,-0.2940215884665265,0.3615691987614353,0.3615691987614353,0.5218847978745975,0.008250410889716009,-0.3426967511641158,-0.3426967511641158
0.167339,0.05620501084175916,0.05620501084175916,0.5409388668293651,0.11201161877233073,-0.7433388731822885,-0.2942961689542547,0.36167216359935656,0.36167216359935656,0.5218473366221149,0.008212949637233402,-0.3426768503423723,-0.3426768503423723
0.16912,0.056306529052568985,0.056306529052568985,0.5412191497591337,0.11172690907517485,-0.7436110197010783,-0.2944606463280929,0.3617739410815215,0.3617739410815215,0.5218084306497774,0.008034359115028367,-0.3426561856249132,-0.3426561856249132
0.170867,0.056408990960001404,0.056408990960001404,0.5414944805556684,0.1120022398717096,-0.7438845647510783,-0.29473419137809287,0.3618854677287096,0.3618854677287096,0.5217710786459528,0.007997007111203769,-0.34264603001892485,-0.34264603001892485
0.172616,0.056580454513854975,0.056580454513854975,0.5419260159092674,0.11243377522530856,-0.7444967642149848,-0.2953463908419993,0.3629663251196194,0.3629663251196194,0.5220003562105544,0.008226284675805329,-0.3436366243755956,-0.3436366243755956
0.174527,0.05668752678377229,0.05668752678377229,0.5422347383509579,0.11274249766699912,-0.7448040458536617,-0.2956536724806762,0.36315807025321967,0.36315807025321967,0.5219887439302632,0.0082146723955141,-0.34370756909735883,-0.34370756909735883
0.176311,0.056787978230131,0.056787978230131,0.5425239540130339,0.11303171332907508,-0.7450765688557495,-0.295926195482764,0.363254265771417,0.363254265771417,0.521950135546221,0.008176064011471973,-0.34368017602240314,-0.34368017602240314
0.178148,0.056888655213626606,0.056888655213626606,0.5428063209714253,0.11331408028746653,-0.7453466797998866,-0.2961963064269011,0.36334956082630027,0.36334956082630027,0.5219101390785864,0.008136067543837333,-0.34365234760376545,-0.34365234760376545
0.180048,0.05699030770574418,0.05699030770574418,0.5430836104356839,0.11302703173380269,-0.7456182063043425,-0.2963593139950446,0.3634548276040452,0.3634548276040452,0.5218717428517182,0.007958216406340313,-0.3436352850509489,-0.3436352850509489
0.181825,0.05716048635959204,0.05716048635959204,0.5435180000692629,0.11346142136738169,-0.7462279772416522,-0.29696908493235435,0.3645250101302893,0.3645250101302893,0.5220992676411826,0.00818574119580473,-0.34461413314715644,-0.34461413314715644
